VDS_CD,TRFFCVLM,SPD_AVG,OCCPNCY,Start or End,point,geometry,length,count,black-spot
0010VDE00100,11181801,85.39818182,1.93125,E,1.4,"LINESTRING (129.10151289152822 35.25701249692179, 129.10587258353732 35.26524643072924)",996,3,0.268293095
0010VDE00200,11086211,97.34636364,1.975,E,2.4,"LINESTRING (129.10586779294988 35.265235507917815, 129.10860798386747 35.27302469052724)",899,0,0
0010VDE00300,10851266,89.91636364,2.06125,E,3.3,"LINESTRING (129.10861016336955 35.27296918860298, 129.10419985193488 35.28302311517538)",1185,0,0
0010VDE00400,133478,86.87,1.585,E,4.5,"LINESTRING (129.1042179502675 35.282996809658606, 129.10014104856702 35.28711399685693)",588,0,0
0010VDE00500,8570669,94.90181818,1.48125,E,5.1,"LINESTRING (129.1001651738426 35.28709594519738, 129.0892343789522 35.29310411958707)",1197,1,0.116677006
0010VDE00600,10195,86.54,2.2,E,6.3,"LINESTRING (129.08921305688145 35.29311944680861, 129.08195115494422 35.299884451955)",1000,0,0
0010VDE00700,10664770,96.86363636,1.88,E,7.3,"LINESTRING (129.08195060393314 35.29988496916367, 129.07474920181505 35.30669601432256)",1000,0,0
0010VDE00800,10462890,99.23090909,3.555,E,8.3,"LINESTRING (129.0747492513445 35.3066959675157, 129.06826184945558 35.31282188315611)",900,0,0
0010VDE00900,11068074,100.7981818,2.555,E,9.2,"LINESTRING (129.06826850193318 35.31281613328655, 129.06194110196634 35.317824049329936)",800,1,0.090349956
0010VDE01000,10839692,99.342,2.185714286,E,10,"LINESTRING (129.06194602768582 35.31782038059812, 129.05281862934592 35.32421534521686)",1092,0,0
0010VDE01100,5239669,82.60857143,2.5625,E,11.1,"LINESTRING (129.05283501813742 35.324205839793485, 129.0453575226606 35.327750786307114)",785,1,0.19085175
0010VDE01200,4465080,90.33571429,1.745,E,11.9,"LINESTRING (129.04531773835058 35.32778318044615, 129.04031213269994 35.33476998670398)",899,2,0.447920306
0010VDE01300,5450473,92.82181818,1.305,E,12.8,"LINESTRING (129.0403027903405 35.33484451677564, 129.04568407586513 35.34787791173491)",1527,0,0
0010VDE01500,14312607,96.79454545,2.2075,E,14.4,"LINESTRING (129.04567834816658 35.347845664956374, 129.04522973477214 35.357713854894214)",1096,0,0
0010VDE01600,197757,97.17,2.515,E,15.5,"LINESTRING (129.04523122732752 35.35773237772383, 129.04705611607372 35.36648980963163)",986,0,0
0010VDE01700,175388,93.71,2.35,E,16.5,"LINESTRING (129.04705986861998 35.36650233392998, 129.05077575794976 35.375929817389235)",1099,2,11.40328871
0010VDE01800,14029813,90.31454545,1.7975,E,17.6,"LINESTRING (129.0507740044974 35.37592489462368, 129.05244189820107 35.38115622623929)",600,3,0.213830363
0010VDE01900,3796164,100.336,2.16,E,18.2,"LINESTRING (129.0524436750245 35.38116120760867, 129.0554914662988 35.38887282044617)",899,0,0
0010VDE02000,11977,100.57,1.8,E,19.1,"LINESTRING (129.05548838200778 35.3888632541129, 129.05770377093404 35.39766588635321)",997,1,83.49336228
0010VDE02100,64986,98.44666667,2.475,E,20.1,"LINESTRING (129.05770270347867 35.397660956677115, 129.05899879418496 35.40479282807165)",800,0,0
0010VDE02200,11518908,95.14090909,2.0075,E,20.9,"LINESTRING (129.0590032983888 35.40480819686944, 129.06179629075658 35.41163301945423)",799,1,0.086813785
0010VDE02300,11543158,88.33363636,2.20875,E,21.7,"LINESTRING (129.06179740079514 35.41163560087993, 129.0656092917238 35.420087374339474)",1000,0,0
0010VDE02400,11550315,97.76,2.795,E,22.7,"LINESTRING (129.06560407527593 35.42007146438807, 129.06709986613194 35.427173335953626)",800,0,0
0010VDE02500,12748354,96.93272727,2.73125,E,23.5,"LINESTRING (129.06710333842395 35.42718506537044, 129.07038592864137 35.435726958448825)",993,0,0
0010VDE02600,5563735,98.97333333,2.026666667,E,24.5,"LINESTRING (129.0703992047793 35.435749731908395, 129.07586260081098 35.44249129612128)",898,1,0.179735376
0010VDE02700,11465586,99.22181818,2.02,E,25.4,"LINESTRING (129.07584795870974 35.44246468153364, 129.07896514720827 35.45203626455112)",1099,0,0
0010VDE02800,19088,105.5,2.54,E,26.5,"LINESTRING (129.07896646572576 35.45203998882671, 129.08159975782667 35.45892002130103)",800,0,0
0010VDE02850,12086086,98.33363636,1.985,E,27.3,"LINESTRING (129.08159909848052 35.45891823410331, 129.08221389644615 35.46064923468934)",200,1,0.082739772
0010VDE02900,11439240,101.0909091,2.23,E,27.5,"LINESTRING (129.08221580535056 35.46065409178599, 129.0858774960397 35.46913817514689)",998,0,0
0010VDE03000,11476012,98.93181818,2.13,E,28.5,"LINESTRING (129.08587730265074 35.46913772330229, 129.0880373970231 35.4742276252924)",598,0,0
0010VDE03100,11515697,97.54909091,3.3225,E,29.1,"LINESTRING (129.088033654231 35.47421658784107, 129.0907454409289 35.48477738058567)",1197,0,0
0010VDE03200,11337390,91.93636364,1.9775,E,30.3,"LINESTRING (129.09074606285165 35.48477965561619, 129.09303475311143 35.492670347882914)",900,1,0.088203722
0010VDE03300,16009,100.61,2.17,E,31.2,"LINESTRING (129.09303634172701 35.492675214638325, 129.09617013163955 35.50129986761741)",998,0,0
0010VDE03400,144807,96.445,2.44,E,32.2,"LINESTRING (129.09617145898142 35.50130327165065, 129.09937165041674 35.50898034461361)",900,0,0
0010VDE03500,9036623,100.221,1.615714286,E,33.1,"LINESTRING (129.09937107355108 35.508978922290964, 129.1027540637753 35.51755704545899)",1000,0,0
0010VDE03600,7697969,108.61,1.85875,E,34.1,"LINESTRING (129.10275227428977 35.517552011858356, 129.10523876478035 35.52538886428495)",898,1,0.129904394
0010VDE03700,9569878,104.1345455,1.7675,E,35,"LINESTRING (129.10524512265178 35.52540354374698, 129.10933121565898 35.53274861729617)",895,0,0
