주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자수,발생지시도,사고유형_대분류,사고유형_중분류,사고유형,법규위반,도로형태_대분류,도로형태,당사자종별_1당_대분류,당사자종별_2당_대분류,x좌표값,y좌표값,계절,사고 발생 VDS_CD,사고발생 line,발생년월일시,교통량,계절별/교통량(봄),계절별/교통량(여름),계절별/교통량(가을),계절별/교통량(겨울)
주간,금요일,1,1,0,0,0,대구,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,128.6930062,35.88652928,겨울,0010VDE06900,"LINESTRING (128.6961164567545 35.88458698476512, 128.6890911591252 35.888974090821094)",2021010112,6553177,8.78884E-08,9.33803E-08,9.74497E-08,9.7211E-08
야간,토요일,1,1,0,0,0,경북,차대차,기타,기타,안전운전 의무 불이행,단일로,기타단일로,특수차,화물차,128.4558314,35.95236198,겨울,0010VDE09600,"LINESTRING (128.45729526229846 35.94637942986107, 128.4553544517761 35.95431144828423)",2021010203,14474086,,,,
야간,일요일,1,2,1,0,0,경기,차량단독,공작물충돌,공작물충돌,과속,교차로,교차로내,승용차,없음,127.1034405,37.35741812,겨울,0010VDS30920,"LINESTRING (127.10350359964498 37.34527925414238, 127.10343331988548 37.35879444432563)",2021010300,7275619,,,,
주간,월요일,1,4,2,1,0,충북,차대차,추돌,진행중 추돌,안전운전 의무 불이행,단일로,기타단일로,화물차,승용차,127.5188192,36.34711543,겨울,0010VDS20300,"LINESTRING (127.52333682784729 36.34257283089601, 127.51713853029219 36.34880532533971)",2021010408,9012432,,,,
주간,월요일,1,3,0,2,0,경기,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,127.103174,37.3652252,겨울,0010VDE30910,"LINESTRING (127.10320748011411 37.35879369604749, 127.1031184544567 37.37591289581535)",2021010417,3253580,,,,
야간,화요일,1,1,0,0,0,경기,차대차,추돌,추돌,안전운전 의무 불이행,기타,기타,승용차,화물차,127.1034139,37.31909246,겨울,0010VDE30650,"LINESTRING (127.1034463488797 37.31284191611962, 127.10337612867153 37.326357185936494)",2021010503,19841319,,,,
야간,화요일,2,3,1,0,0,대구,차대차,추돌,진행중 추돌,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,128.6743178,35.90182422,겨울,0010VDS07300,"LINESTRING (128.67479704225485 35.90112592732956, 128.6694097490771 35.90897541149156)",2021010505,3812799,,,,
야간,목요일,1,1,0,1,0,경북,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,128.8165492,35.87753071,겨울,0010VDE05800,"LINESTRING (128.81687497141533 35.87753161492456, 128.80588328387475 35.87750111469767)",2021010704,6067556,,,,
야간,금요일,1,3,0,2,0,대전,차대차,추돌,진행중 추돌,안전운전 의무 불이행,단일로,기타단일로,화물차,승합차,127.4186828,36.44779865,겨울,0010VDS21900,"LINESTRING (127.41998987674243 36.44033590087475, 127.41842538914766 36.44926827231922)",2021010802,17261560,,,,
야간,금요일,2,5,2,1,0,경남,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,129.0465378,35.36293105,겨울,0010VDS01700,"LINESTRING (129.0454481726283 35.35770204217975, 129.0472730838821 35.36645947027195)",2021010803,303619,,,,
야간,금요일,1,4,0,2,1,경기,차대차,추돌,진행중 추돌,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,127.1035454,37.29377293,겨울,0010VDE30600,"LINESTRING (127.10355868118599 37.29121742615292, 127.10344634888104 37.31284191585997)",2021010822,13845676,,,,
야간,일요일,1,4,3,0,0,경북,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,129.0080571,35.91254737,겨울,0010VDS04335,"LINESTRING (129.00931487101758 35.90802288219403, 129.006625883682 35.91769546428422)",2021011018,6802866,,,,
주간,월요일,1,2,0,1,0,경기,차대차,정면충돌,정면충돌,중앙선 침범,교차로,교차로내,승용차,승용차,127.1031516,37.36953603,겨울,0010VDE30910,"LINESTRING (127.10320748011411 37.35879369604749, 127.1031184544567 37.37591289581535)",2021011108,3253580,,,,
야간,금요일,1,4,2,2,0,충북,차대차,측면충돌,측면충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,127.9321035,36.21587699,겨울,0010VDE16500,"LINESTRING (127.9334044481451 36.215063865479316, 127.92637035065184 36.21946029152012)",2021011501,4840897,,,,
야간,일요일,1,2,0,0,1,대구,차대차,기타,기타,안전운전 의무 불이행,단일로,기타단일로,특수차,승용차,128.5818557,35.90939577,겨울,0010VDS08200,"LINESTRING (128.58851034862994 35.91072689420127, 128.57454623401415 35.90793367141312)",2021011705,15013526,,,,
주간,수요일,1,1,0,0,0,경북,차대차,추돌,진행중 추돌,안전운전 의무 불이행,단일로,기타단일로,특수차,승용차,129.1962907,35.76322761,겨울,0010VDS04210,"LINESTRING (129.1942135877652 35.756223105221, 129.19701399952788 35.765666732422304)",2021012012,9265661,,,,
야간,목요일,1,2,0,1,0,경기,차대차,추돌,주정차중 추돌,안전운전 의무 불이행,교차로,교차로부근,승용차,승합차,127.1039393,37.26134138,겨울,0010VDS30300,"LINESTRING (127.10395257042461 37.25878128305322, 127.10392457848468 37.264187443126346)",2021012100,16566741,,,,
야간,목요일,1,1,0,0,0,충남,차대차,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,127.2041908,36.76508792,겨울,0010VDS25610,"LINESTRING (127.2179966059327 36.75964525825322, 127.20034009173123 36.76660600541225)",2021012104,595734,,,,
주간,금요일,1,10,9,0,0,경북,차량단독,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승합차,없음,129.0887867,35.84025336,겨울,0010VDS04285,"LINESTRING (129.08966452920862 35.839172920073615, 129.0835695344596 35.84667471457483)",2021012209,7884694,,,,
주간,토요일,1,3,2,0,0,경기,차대차,측면충돌,측면충돌,신호위반,교차로,교차로내,승용차,승용차,127.1038722,37.27427593,겨울,0010VDS30450,"LINESTRING (127.10390118520206 37.26869257337574, 127.10386849461034 37.27499975346109)",2021012315,34224464,,,,
주간,일요일,1,0,0,0,0,경북,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,승용차,화물차,128.2451598,36.15807337,겨울,0010VDS13100,"LINESTRING (128.27276396302037 36.156491925919724, 128.22193480537837 36.159403929879915)",2021012422,6042874,,,,
주간,일요일,1,1,0,0,0,충북,차대차,추돌,진행중 추돌,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,127.4295991,36.47744852,겨울,0010VDE22200,"LINESTRING (127.42784169634439 36.47193110786913, 127.43061228505371 36.48062960033396)",2021013113,14464438,,,,
야간,월요일,1,2,0,1,0,부산,차대차,정면충돌,정면충돌,중앙선 침범,단일로,기타단일로,승용차,화물차,129.1015129,35.2570125,겨울,0010VDE00100,"LINESTRING (129.10151289152822 35.25701249692179, 129.10587258353732 35.26524643072924)",2021020105,11181801,,,,
주간,월요일,3,12,6,3,0,경북,차대차,측면충돌,측면충돌,안전거리 미확보,단일로,기타단일로,화물차,화물차,128.4302508,35.98200608,겨울,0010VDE10000,"LINESTRING (128.43568476938518 35.97475277581921, 128.42842636184145 35.984441380270134)",2021020106,10752445,,,,
야간,화요일,1,2,1,0,0,충북,차대차,추돌,주정차중 추돌,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,127.329104,36.72108647,겨울,0010VDS24900,"LINESTRING (127.33067132335061 36.72067119571048, 127.30854530139413 36.7265338820744)",2021020201,14989018,,,,
야간,수요일,1,3,1,1,0,경북,차대차,추돌,진행중 추돌,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,128.0857804,36.13435549,겨울,0010VDE14500,"LINESTRING (128.09685836560368 36.13358232814683, 128.08357738059797 36.13450924696481)",2021020322,5094080,,,,
주간,목요일,1,4,3,0,0,충남,차대차,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,127.2746134,36.73257006,겨울,0010VDE25100,"LINESTRING (127.28402305528951 36.73402049937625, 127.26535967589878 36.731143642707174)",2021020406,13848957,,,,
주간,목요일,1,2,1,0,0,경북,차대차,추돌,주정차중 추돌,안전운전 의무 불이행,단일로,기타단일로,화물차,승용차,128.4813931,35.92713442,겨울,0010VDE09200,"LINESTRING (128.48463520543268 35.92104944392343, 128.48067809754926 35.92847628073563)",2021020413,8044989,,,,
주간,금요일,1,4,1,1,1,경북,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,기타/불명,기타/불명,승용차,없음,129.1856629,35.80618908,겨울,0010VDS04235,"LINESTRING (129.18935149335317 35.801947016336996, 129.1810712992343 35.8114696523352)",2021020506,2242864,,,,
주간,금요일,1,2,0,1,0,경북,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,128.9100543,35.90292959,겨울,0010VDE04800,"LINESTRING (128.91945741619182 35.902132732836456, 128.90954202719357 35.90297300165086)",2021020507,6196275,,,,
야간,금요일,1,1,0,0,0,충남,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,화물차,없음,127.2180583,36.75957658,겨울,0010VDS25500,"LINESTRING (127.21957168134598 36.750715002166416, 127.21805829385201 36.75957658361305)",2021020519,14337278,,,,
야간,금요일,1,1,0,0,0,경기,차량단독,전도전복,전도전복,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,127.1035072,37.30112158,겨울,0010VDE30600,"LINESTRING (127.10355868118599 37.29121742615292, 127.10344634888104 37.31284191585997)",2021020522,13845676,,,,
야간,일요일,1,8,5,1,1,충북,차대차,기타,기타,안전운전 의무 불이행,단일로,기타단일로,화물차,승용차,127.4279207,36.57563952,겨울,0010VDE23100,"LINESTRING (127.43041975154554 36.56515098699773, 127.42767873587684 36.576655154490176)",2021020701,15230408,,,,
